Filenames_filename,Data_group,Data_remarks,Data_plant_id,Data_leaftype,SysObs_obs,SysObs_time,SysObs_elapsed,SysObs_date,SysObs_hhmmss,GasEx_Emm,GasEx_A,GasEx_Ca,GasEx_Ci,GasEx_gsw,GasEx_TleafCnd,GasEx_RHcham,GasEx_VPcham,GasEx_VPDleaf,FLR_Fv/Fm,FLR_A_dark,FLR_A_fs,FLR_ETR,FLR_NPQ,FLR_Fv'/Fm',LeafQ_Qin,Meas_CO2_r,Meas_Pa,Meas_Tair,Meas_Tleaf
2023-11-17-1144_logdata-tc-heat,group1,"12:11:28 tc-1, 12:11:31 tc-1, 12:11:32 tc-1",2,Testing,1,1700252343,0,2023-11-17T19:19:03Z,12:19:03,1.35,3.61,298.94,265.82,0.2,27.61,72.83,3.11,0.6,0.8,-0.359218189,3.61,26.45,0.29,0.76,499.99,302.45,88.61,30.03,27.61
2023-11-17-1144_logdata-tc-heat,group1,"12:11:28 tc-1, 12:11:31 tc-1, 12:11:32 tc-1",2,Testing,2,1700252383,40,2023-11-17T19:19:43Z,12:19:43,1.32,3.34,303.54,270.48,0.19,27.79,72.71,3.12,0.63,0.8,-0.359218189,3.34,27.77,0.39,0.74,500.03,303.55,88.6,30.12,27.79
2023-11-17-1144_logdata-tc-heat,group1,"12:11:28 tc-1, 12:11:31 tc-1, 12:11:32 tc-1",2,Testing,3,1700252411,68,2023-11-17T19:20:11Z,12:20:11,1.34,3.69,297.73,259.52,0.18,28.01,72.41,3.12,0.67,0.8,-0.359218189,3.69,28.83,0.48,0.73,500,301.63,88.6,30.21,28.01
2023-11-17-1144_logdata-tc-heat,group1,"12:11:28 tc-1, 12:11:31 tc-1, 12:11:32 tc-1",2,Testing,4,1700252439,96,2023-11-17T19:20:39Z,12:20:39,1.3,3.57,298.33,259.03,0.17,28.08,71.98,3.11,0.7,0.8,-0.359218189,3.57,29.52,0.58,0.72,499.99,301.88,88.6,30.26,28.08
2023-11-17-1144_logdata-tc-heat,group1,"12:11:28 tc-1, 12:11:31 tc-1, 12:11:32 tc-1",2,Testing,5,1700252473,130,2023-11-17T19:21:13Z,12:21:13,1.19,3.5,301.38,259.43,0.15,28.06,71.66,3.11,0.7,0.8,-0.359218189,3.5,30.76,0.69,0.7,500.02,303.11,88.6,30.31,28.06
2023-11-17-1144_logdata-tc-heat,group1,"12:11:28 tc-1, 12:11:31 tc-1, 12:11:32 tc-1",2,Testing,6,1700252512,169,2023-11-17T19:21:52Z,12:21:52,1.16,2.34,308.97,278.29,0.15,28.1,71.34,3.1,0.71,0.8,-0.359218189,2.34,31.47,0.82,0.69,500.01,308.62,88.6,30.36,28.1
2023-11-17-1144_logdata-tc-heat,group2,"12:16:03 tc-ref, 12:16:04 tc-ref",2,Reference,1,1700252787,0,2023-11-17T19:26:27Z,12:26:27,1.06,1.64,304.47,276.52,0.12,28.49,70.29,3.09,0.81,0.8,-0.359218189,1.64,27.84,0.65,0.71,500,310.47,88.6,30.57,28.49
2023-11-17-1144_logdata-tc-heat,group2,"12:16:03 tc-ref, 12:16:04 tc-ref",2,Reference,2,1700252832,45,2023-11-17T19:27:12Z,12:27:12,1.1,3.4,301.56,249.53,0.12,28.64,70.25,3.11,0.83,0.8,-0.359218189,3.4,32.96,0.83,0.69,500.03,301.49,88.6,30.67,28.64
2023-11-17-1144_logdata-tc-heat,group2,"12:16:03 tc-ref, 12:16:04 tc-ref",2,Reference,3,1700252873,86,2023-11-17T19:27:53Z,12:27:53,1.1,3.27,299.69,248.45,0.11,28.72,70.01,3.11,0.85,0.8,-0.359218189,3.27,36.11,0.95,0.67,500.03,302,88.6,30.74,28.72
2023-11-17-1144_logdata-tc-heat,group2,"12:16:03 tc-ref, 12:16:04 tc-ref",2,Reference,4,1700252910,123,2023-11-17T19:28:30Z,12:28:30,1.09,3.43,300.38,245.09,0.11,28.79,69.78,3.11,0.86,0.8,-0.359218189,3.43,37.74,1.04,0.66,499.94,301.21,88.6,30.79,28.79
2023-11-17-1144_logdata-tc-heat,group2,"12:16:03 tc-ref, 12:16:04 tc-ref",2,Reference,5,1700252952,165,2023-11-17T19:29:12Z,12:29:12,1.08,3.39,304.06,248.7,0.11,28.81,69.56,3.11,0.87,0.8,-0.359218189,3.39,39.32,1.12,0.65,500,304.76,88.6,30.83,28.81
2023-11-17-1144_logdata-tc-heat,group2,"12:16:03 tc-ref, 12:16:04 tc-ref",2,Reference,6,1700253034,247,2023-11-17T19:30:34Z,12:30:34,1.04,3.56,297.96,237.1,0.1,28.85,69.26,3.1,0.88,0.8,-0.359218189,3.56,41.67,1.21,0.65,500,300.37,88.6,30.89,28.85
2023-11-17-1144_logdata-tc-heat,group3,"12:24:04 tc-con, 12:24:05 tc-con",2,Control,1,1700253254,0,2023-11-17T19:34:14Z,12:34:14,1.39,2.95,296.14,262.28,0.16,28.39,69.64,3.13,0.76,0.8,-0.359218189,2.95,32.54,1.06,0.66,499.99,299.71,88.59,30.92,28.39
2023-11-17-1144_logdata-tc-heat,group3,"12:24:04 tc-con, 12:24:05 tc-con",2,Control,2,1700253333,79,2023-11-17T19:35:33Z,12:35:33,1.16,3.41,296.76,246.57,0.12,28.63,68.75,3.1,0.83,0.8,-0.359218189,3.41,41.62,1.34,0.63,500,300.3,88.59,31.02,28.63
2023-11-17-1144_logdata-tc-heat,group3,"12:24:04 tc-con, 12:24:05 tc-con",2,Control,3,1700253381,127,2023-11-17T19:36:21Z,12:36:21,1.1,3.6,296.77,239.23,0.11,28.75,68.38,3.1,0.87,0.8,-0.359218189,3.6,43.64,1.4,0.63,499.97,300.59,88.6,31.07,28.75
2023-11-17-1144_logdata-tc-heat,group3,"12:24:04 tc-con, 12:24:05 tc-con",2,Control,4,1700253414,160,2023-11-17T19:36:54Z,12:36:54,1.06,3.66,296.99,234.53,0.1,28.88,68.21,3.1,0.9,0.8,-0.359218189,3.66,44.72,1.42,0.62,499.98,300.46,88.59,31.12,28.88
2023-11-17-1144_logdata-tc-heat,group3,"12:24:04 tc-con, 12:24:05 tc-con",2,Control,5,1700253447,193,2023-11-17T19:37:27Z,12:37:27,1.03,3.42,300.02,238.63,0.1,28.92,67.97,3.09,0.91,0.8,-0.359218189,3.42,44.97,1.45,0.62,499.98,303.06,88.59,31.14,28.92
2023-11-17-1144_logdata-tc-heat,group3,"12:24:04 tc-con, 12:24:05 tc-con",2,Control,6,1700253495,241,2023-11-17T19:38:15Z,12:38:15,0.96,3.12,298.03,237.86,0.09,28.93,67.86,3.09,0.92,0.8,-0.359218189,3.12,45.87,1.47,0.62,500.06,301.02,88.59,31.16,28.93
2023-11-17-1144_logdata-tc-heat,group4,"12:31:51 tc-con2, 12:31:51 tc-con2",2,Bad,1,1700253639,0,2023-11-17T19:40:39Z,12:40:39,0.78,1.7,309,264.19,0.07,29.08,67.31,3.07,0.97,0.8,-0.359218189,1.7,33.7,1.36,0.63,499.97,311.58,88.58,31.2,29.08
2023-11-17-1144_logdata-tc-heat,group5,"12:34:04 tc-trt, 12:34:05 tc-trt",2,Treatment,1,1700253964,0,2023-11-17T19:46:04Z,12:46:04,0.92,3.02,295.88,232.53,0.08,29.06,67.62,3.08,0.95,0.8,-0.359218189,3.02,35.38,1.13,0.65,500.01,298.74,88.57,31.2,29.06
2023-11-17-1144_logdata-tc-heat,group5,"12:34:04 tc-trt, 12:34:05 tc-trt",2,Treatment,2,1700254006,42,2023-11-17T19:46:46Z,12:46:46,0.89,3.04,295.27,226.27,0.08,29.25,67.33,3.08,1,0.8,-0.359218189,3.04,41.57,1.3,0.64,499.99,298.72,88.57,31.25,29.25
2023-11-17-1144_logdata-tc-heat,group5,"12:34:04 tc-trt, 12:34:05 tc-trt",2,Treatment,3,1700254045,81,2023-11-17T19:47:25Z,12:47:25,0.85,3.1,295.73,219.4,0.07,29.37,66.96,3.07,1.04,0.8,-0.359218189,3.1,44.04,1.39,0.63,500.01,299.14,88.56,31.29,29.37
2023-11-17-1144_logdata-tc-heat,group5,"12:34:04 tc-trt, 12:34:05 tc-trt",2,Treatment,4,1700254078,114,2023-11-17T19:47:58Z,12:47:58,0.81,2.81,295.34,220.26,0.07,29.52,66.8,3.08,1.07,0.8,-0.359218189,2.81,45.13,1.44,0.62,500,298.57,88.56,31.35,29.52
2023-11-17-1144_logdata-tc-heat,group5,"12:34:04 tc-trt, 12:34:05 tc-trt",2,Treatment,5,1700254121,157,2023-11-17T19:48:41Z,12:48:41,0.78,2.99,295.13,212.29,0.06,29.53,66.59,3.07,1.08,0.8,-0.359218189,2.99,46.41,1.47,0.62,500,298.28,88.57,31.38,29.53
2023-11-17-1144_logdata-tc-heat,group5,"12:34:04 tc-trt, 12:34:05 tc-trt",2,Treatment,6,1700254225,261,2023-11-17T19:50:25Z,12:50:25,0.72,2.74,295.03,211.91,0.06,29.61,66.43,3.07,1.1,0.8,-0.359218189,2.74,48.5,1.52,0.61,499.95,297.84,88.56,31.41,29.61
