Filenames_filename,Data_group,Data_remarks,Data_plant_id,Data_leaftype,SysObs_obs,SysObs_time,SysObs_elapsed,SysObs_date,SysObs_hhmmss,GasEx_Emm,GasEx_A,GasEx_Ca,GasEx_Ci,GasEx_gsw,GasEx_TleafCnd,GasEx_RHcham,GasEx_VPcham,GasEx_VPDleaf,FLR_Fv/Fm,FLR_A_dark,FLR_A_fs,FLR_ETR,FLR_NPQ,FLR_Fv'/Fm',LeafQ_Qin,Meas_CO2_r,Meas_Pa,Meas_Tair,Meas_Tleaf
2023-11-17-1144_logdata-tc-heat,group1,"12:11:28 tc-1, 12:11:31 tc-1, 12:11:32 tc-1",2,Treatment,1,1700252343,0,2023-11-17T19:19:03Z,12:19:03,1.3477341,3.61056472,298.944514,265.8198711,0.20328932,27.61176,72.83466974,3.10831074,0.6014834,0.80043795,-0.359218189,3.61056472,26.44848025,0.28804774,0.7569272,499.9931333,302.4535333,88.60928,30.0293,27.61176
2023-11-17-1144_logdata-tc-heat,group1,"12:11:28 tc-1, 12:11:31 tc-1, 12:11:32 tc-1",2,Treatment,2,1700252383,40,2023-11-17T19:19:43Z,12:19:43,1.3212709,3.34484001,303.5391071,270.4784971,0.18937572,27.79188125,72.70835573,3.11887599,0.63016533,0.80043795,-0.359218189,3.34484001,27.77053409,0.39111199,0.74248608,500.02525,303.5451875,88.6039875,30.11864375,27.79188125
2023-11-17-1144_logdata-tc-heat,group1,"12:11:28 tc-1, 12:11:31 tc-1, 12:11:32 tc-1",2,Treatment,3,1700252411,68,2023-11-17T19:20:11Z,12:20:11,1.33601415,3.68894391,297.7301677,259.5174504,0.17817396,28.011175,72.40617358,3.12247646,0.67483612,0.80043795,-0.359218189,3.68894391,28.82747732,0.47955475,0.73052594,500.0005625,301.632125,88.60175625,30.21135,28.011175
2023-11-17-1144_logdata-tc-heat,group1,"12:11:28 tc-1, 12:11:31 tc-1, 12:11:32 tc-1",2,Treatment,4,1700252439,96,2023-11-17T19:20:39Z,12:20:39,1.30428146,3.56917329,298.3288559,259.0318125,0.16730639,28.08010625,71.98170987,3.11330597,0.69929145,0.80043795,-0.359218189,3.56917329,29.5230592,0.57572249,0.71795088,499.9893125,301.8809375,88.5991375,30.26259375,28.08010625
2023-11-17-1144_logdata-tc-heat,group1,"12:11:28 tc-1, 12:11:31 tc-1, 12:11:32 tc-1",2,Treatment,5,1700252473,130,2023-11-17T19:21:13Z,12:21:13,1.19485726,3.49910602,301.3833561,259.434415,0.15221493,28.06068125,71.65749215,3.10727638,0.70100831,0.80043795,-0.359218189,3.49910602,30.76323983,0.68849285,0.70374541,500.0219375,303.1050625,88.595875,30.30753125,28.06068125
2023-11-17-1144_logdata-tc-heat,group1,"12:11:28 tc-1, 12:11:31 tc-1, 12:11:32 tc-1",2,Treatment,6,1700252512,169,2023-11-17T19:21:52Z,12:21:52,1.16492255,2.3406191,308.9678541,278.2907396,0.14537828,28.09676,71.34447148,3.10218227,0.71411599,0.80043795,-0.359218189,2.3406191,31.47342437,0.81558498,0.68839492,500.0121333,308.621,88.59558667,30.3553,28.09676
2023-11-17-1144_logdata-tc-heat,group2,"12:16:03 tc-ref, 12:16:04 tc-ref",2,Reference,1,1700252787,0,2023-11-17T19:26:27Z,12:26:27,1.05500842,1.64465154,304.4697912,276.5169284,0.1151365,28.48573333,70.28823687,3.09472872,0.80890446,0.80043795,-0.359218189,1.64465154,27.84048529,0.64856959,0.70870973,500.0006,310.4738,88.60134667,30.57384,28.48573333
2023-11-17-1144_logdata-tc-heat,group2,"12:16:03 tc-ref, 12:16:04 tc-ref",2,Reference,2,1700252832,45,2023-11-17T19:27:12Z,12:27:12,1.10285595,3.40376838,301.5570484,249.5288362,0.1176209,28.63527333,70.25041009,3.10957801,0.82809189,0.80043795,-0.359218189,3.40376838,32.95573423,0.82739664,0.68700222,500.0294,301.4858667,88.60008667,30.66697333,28.63527333
2023-11-17-1144_logdata-tc-heat,group2,"12:16:03 tc-ref, 12:16:04 tc-ref",2,Reference,3,1700252873,86,2023-11-17T19:27:53Z,12:27:53,1.10295581,3.26742912,299.6892492,248.4548885,0.11491894,28.72492,70.0052278,3.11135701,0.84684117,0.80043795,-0.359218189,3.26742912,36.10613187,0.95141513,0.67271248,500.0275333,301.9952,88.60061333,30.73816667,28.72492
2023-11-17-1144_logdata-tc-heat,group2,"12:16:03 tc-ref, 12:16:04 tc-ref",2,Reference,4,1700252910,123,2023-11-17T19:28:30Z,12:28:30,1.08885256,3.42957913,300.3847149,245.0942081,0.11105461,28.79165333,69.77577586,3.10953451,0.86400555,0.80043795,-0.359218189,3.42957913,37.73639398,1.04204564,0.6626401,499.9408,301.2092667,88.59922667,30.78538667,28.79165333
2023-11-17-1144_logdata-tc-heat,group2,"12:16:03 tc-ref, 12:16:04 tc-ref",2,Reference,5,1700252952,165,2023-11-17T19:29:12Z,12:29:12,1.08159006,3.38842368,304.0554817,248.7012667,0.1097235,28.80511875,69.5633005,3.10834413,0.86829788,0.80043795,-0.359218189,3.38842368,39.3212398,1.11977356,0.6542389,500.00075,304.758125,88.598025,30.83209375,28.80511875
2023-11-17-1144_logdata-tc-heat,group2,"12:16:03 tc-ref, 12:16:04 tc-ref",2,Reference,6,1700253034,247,2023-11-17T19:30:34Z,12:30:34,1.040837,3.55561989,297.9590434,237.1021611,0.10360786,28.8537,69.26424437,3.1046126,0.88323837,0.80043795,-0.359218189,3.55561989,41.66818384,1.20529773,0.64523781,500.0013125,300.369625,88.59954375,30.88653125,28.8537
2023-11-17-1144_logdata-tc-heat,group3,"12:24:04 tc-con, 12:24:05 tc-con",2,Control,1,1700253254,0,2023-11-17T19:34:14Z,12:34:14,1.39132752,2.95425344,296.1423842,262.2810704,0.16493757,28.39451333,69.64437571,3.12727079,0.75572611,0.80043795,-0.359218189,2.95425344,32.54093093,1.06144777,0.66052289,499.9908,299.7088667,88.59462,30.91805333,28.39451333
2023-11-17-1144_logdata-tc-heat,group3,"12:24:04 tc-con, 12:24:05 tc-con",2,Control,2,1700253333,79,2023-11-17T19:35:33Z,12:35:33,1.15576976,3.41336022,296.7570484,246.5690943,0.12274247,28.63446,68.74644467,3.10463794,0.83284614,0.80043795,-0.359218189,3.41336022,41.61568128,1.34072154,0.63148076,499.9986667,300.2983333,88.59385333,31.01823333,28.63446
