Please note that (-9999) indicates a null value
Global Radiation (GlobalRad) [W/m^2]

DateTime,TRF_STower_100_CS300
2023/01/01 00:00,0,
2023/01/01 00:15,0,
2023/01/01 00:30,0,
2023/01/01 00:45,0,
2023/01/01 01:00,0,
2023/01/01 01:15,0,
2023/01/01 01:30,0,
2023/01/01 01:45,0,
2023/01/01 02:00,0,
2023/01/01 02:15,0,
2023/01/01 02:30,0,
2023/01/01 02:45,0,
2023/01/01 03:00,0,
2023/01/01 03:15,0,
2023/01/01 03:30,0,
2023/01/01 03:45,0,
2023/01/01 04:00,0,
2023/01/01 04:15,0,
2023/01/01 04:30,0,
2023/01/01 04:45,0,
2023/01/01 05:00,0,
2023/01/01 05:15,0,
2023/01/01 05:30,0,
2023/01/01 05:45,0,
2023/01/01 06:00,0,
2023/01/01 06:15,0,
2023/01/01 06:30,0,
2023/01/01 06:45,0,
2023/01/01 07:00,0,
2023/01/01 07:15,0,
2023/01/01 07:30,0,
2023/01/01 07:45,0,
2023/01/01 08:00,0,
2023/01/01 08:15,0.20500000000000002,
2023/01/01 08:30,0.34,
2023/01/01 08:45,0.34,
2023/01/01 09:00,0.34,
2023/01/01 09:15,0.34,
2023/01/01 09:30,0.41000000000000003,
2023/01/01 09:45,0.43499999999999994,
2023/01/01 10:00,0.525,
2023/01/01 10:15,0.5700000000000001,
2023/01/01 10:30,0.295,
2023/01/01 10:45,0.045,
2023/01/01 11:00,0.045,
2023/01/01 11:15,0,
2023/01/01 11:30,0.16,
2023/01/01 11:45,0.34,
2023/01/01 12:00,0.34,
2023/01/01 12:15,0.34,
2023/01/01 12:30,0.32,
2023/01/01 12:45,0.34,
2023/01/01 13:00,0.34,
2023/01/01 13:15,0.135,
2023/01/01 13:30,0.34,
2023/01/01 13:45,0.775,
2023/01/01 14:00,0.48,
2023/01/01 14:15,0.34,
2023/01/01 14:30,0.34,
2023/01/01 14:45,0.48,
2023/01/01 15:00,0.75,
2023/01/01 15:15,0.43499999999999994,
2023/01/01 15:30,0.34,
2023/01/01 15:45,0.22999999999999998,
2023/01/01 16:00,0.25,
2023/01/01 16:15,0.135,
2023/01/01 16:30,0,
2023/01/01 16:45,0,
2023/01/01 17:00,0,
2023/01/01 17:15,0,
2023/01/01 17:30,0,
2023/01/01 17:45,0,
2023/01/01 18:00,0,
2023/01/01 18:15,0,
2023/01/01 18:30,0,
2023/01/01 18:45,0,
2023/01/01 19:00,0,
2023/01/01 19:15,0,
2023/01/01 19:30,0,
2023/01/01 19:45,0,
2023/01/01 20:00,0,
2023/01/01 20:15,0,
2023/01/01 20:30,0,
2023/01/01 20:45,0,
2023/01/01 21:00,0,
2023/01/01 21:15,0,
2023/01/01 21:30,0,
2023/01/01 21:45,0,
2023/01/01 22:00,0,
2023/01/01 22:15,0,
2023/01/01 22:30,0,
2023/01/01 22:45,0,
2023/01/01 23:00,0,
2023/01/01 23:15,0,
2023/01/01 23:30,0,
2023/01/01 23:45,0,
2023/01/02 00:00,0,
2023/01/02 00:15,0,
2023/01/02 00:30,0,
2023/01/02 00:45,0,
2023/01/02 01:00,0,
2023/01/02 01:15,0,
2023/01/02 01:30,0,
2023/01/02 01:45,0,
2023/01/02 02:00,0,
2023/01/02 02:15,0,
2023/01/02 02:30,0,
2023/01/02 02:45,0,
2023/01/02 03:00,0,
2023/01/02 03:15,0,
2023/01/02 03:30,0,
2023/01/02 03:45,0,
2023/01/02 04:00,0,
2023/01/02 04:15,0,
2023/01/02 04:30,0,
2023/01/02 04:45,0,
2023/01/02 05:00,0,
2023/01/02 05:15,0,
2023/01/02 05:30,0,
2023/01/02 05:45,0,
2023/01/02 06:00,0,
2023/01/02 06:15,0,
2023/01/02 06:30,0,
2023/01/02 06:45,0,
2023/01/02 07:00,0,
2023/01/02 07:15,0,
2023/01/02 07:30,0,
2023/01/02 07:45,0.25,
2023/01/02 08:00,0.39,
2023/01/02 08:15,0.685,
2023/01/02 08:30,1.46,
2023/01/02 08:45,1.825,
2023/01/02 09:00,0.705,
2023/01/02 09:15,0.5,
2023/01/02 09:30,0.75,
2023/01/02 09:45,1.21,
2023/01/02 10:00,2.05,
2023/01/02 10:15,3.125,
2023/01/02 10:30,3.805,
2023/01/02 10:45,2.165,
2023/01/02 11:00,4.1049999999999995,
2023/01/02 11:15,6.43,
2023/01/02 11:30,3.19,
2023/01/02 11:45,1.025,
2023/01/02 12:00,1.255,
2023/01/02 12:15,2.8699999999999997,
2023/01/02 12:30,1.23,
2023/01/02 12:45,1.255,
2023/01/02 13:00,1.48,
2023/01/02 13:15,3.03,
2023/01/02 13:30,3.875,
2023/01/02 13:45,2.92,
2023/01/02 14:00,4.925,
2023/01/02 14:15,3.65,
2023/01/02 14:30,3.58,
2023/01/02 14:45,0.775,
2023/01/02 15:00,0.8,
2023/01/02 15:15,0.8200000000000001,
2023/01/02 15:30,0.73,
2023/01/02 15:45,0.48,
2023/01/02 16:00,0.595,
2023/01/02 16:15,0.5700000000000001,
2023/01/02 16:30,1.0050000000000001,
2023/01/02 16:45,1.07,
2023/01/02 17:00,0.48,
2023/01/02 17:15,0.16,
2023/01/02 17:30,0,
2023/01/02 17:45,0,
2023/01/02 18:00,0,
2023/01/02 18:15,0,
2023/01/02 18:30,0,
2023/01/02 18:45,0,
2023/01/02 19:00,0,
2023/01/02 19:15,0,
2023/01/02 19:30,0,
2023/01/02 19:45,0,
2023/01/02 20:00,0,
2023/01/02 20:15,0,
2023/01/02 20:30,0,
2023/01/02 20:45,0,
2023/01/02 21:00,0,
2023/01/02 21:15,0,
2023/01/02 21:30,0,
2023/01/02 21:45,0,
2023/01/02 22:00,0,
2023/01/02 22:15,0,
2023/01/02 22:30,0,
2023/01/02 22:45,0,
2023/01/02 23:00,0,
2023/01/02 23:15,0,
2023/01/02 23:30,0,
2023/01/02 23:45,0,
2023/01/03 00:00,0,
2023/01/03 00:15,0,
2023/01/03 00:30,0,
2023/01/03 00:45,0,
2023/01/03 01:00,0,
2023/01/03 01:15,0,
2023/01/03 01:30,0,
2023/01/03 01:45,0,
2023/01/03 02:00,0,
2023/01/03 02:15,0,
2023/01/03 02:30,0,
2023/01/03 02:45,0,
2023/01/03 03:00,0,
2023/01/03 03:15,0,
2023/01/03 03:30,0,
2023/01/03 03:45,0,
2023/01/03 04:00,0,
2023/01/03 04:15,0,
2023/01/03 04:30,0,
2023/01/03 04:45,0,
2023/01/03 05:00,0,
2023/01/03 05:15,0,
2023/01/03 05:30,0,
2023/01/03 05:45,0,
2023/01/03 06:00,0,
2023/01/03 06:15,0,
2023/01/03 06:30,0,
2023/01/03 06:45,0,
2023/01/03 07:00,0,
2023/01/03 07:15,0,
2023/01/03 07:30,0,
2023/01/03 07:45,0,
2023/01/03 08:00,0.16,
2023/01/03 08:15,0.34,
2023/01/03 08:30,0.525,
2023/01/03 08:45,1.115,
2023/01/03 09:00,3.35,
2023/01/03 09:15,3.5999999999999996,
2023/01/03 09:30,1.275,
2023/01/03 09:45,1.4149999999999998,
2023/01/03 10:00,1.7799999999999998,
2023/01/03 10:15,1.94,
2023/01/03 10:30,2.145,
2023/01/03 10:45,5.9750000000000005,
2023/01/03 11:00,4.945,
2023/01/03 11:15,5.015,
2023/01/03 11:30,4.4,
2023/01/03 11:45,4.33,
2023/01/03 12:00,3.92,
2023/01/03 12:15,5.175,
2023/01/03 12:30,7.295,
2023/01/03 12:45,6.3149999999999995,
2023/01/03 13:00,5.655,
2023/01/03 13:15,6.155,
2023/01/03 13:30,6.18,
2023/01/03 13:45,5.905,
2023/01/03 14:00,3.2600000000000002,
2023/01/03 14:15,5.72,
2023/01/03 14:30,2.12,
2023/01/03 14:45,2.255,
2023/01/03 15:00,1.4349999999999998,
2023/01/03 15:15,1.115,
2023/01/03 15:30,0.865,
2023/01/03 15:45,0.935,
2023/01/03 16:00,0.9099999999999999,
2023/01/03 16:15,0.775,
2023/01/03 16:30,2.145,
2023/01/03 16:45,1.94,
2023/01/03 17:00,1.1400000000000001,
2023/01/03 17:15,0.34,
2023/01/03 17:30,0.045,
2023/01/03 17:45,0,
2023/01/03 18:00,0,
2023/01/03 18:15,0,
2023/01/03 18:30,0,
2023/01/03 18:45,0,
2023/01/03 19:00,0,
2023/01/03 19:15,0,
2023/01/03 19:30,0,
2023/01/03 19:45,0,
2023/01/03 20:00,0,
2023/01/03 20:15,0,
2023/01/03 20:30,0,
